27.7,16.6,128.7
24.1,24.1,166
35.3,20.5,179
33.5,25.9,150.4
40.7,27.7,161
38.9,22.3,132.7
33.5,25.9,208.1
24.1,24.1,200
29.5,20.5,208.7
37.1,25.9,202.9
38.9,25.9,159.5
31.7,24.1,144.2
35.3,24.1,146.4
20.5,20.5,234.4
37.1,27.7,200
33.5,22.3,183.4
22.3,22.3,268.8
31.7,20.5,266.1
14.8,14.8,163.8
14.8,14.8,190.4
9.4,9.4,155.8
11.2,11.2,146.3
16.6,16.6,185.4
14.8,14.8,166.3
13,13,163.9
13,13,135
14.8,14.8,100.6
24.1,24.1,194.2
16.6,16.6,172.5
18.4,18.4,229.1
33.5,27.7,227.9
27.7,25.9,286.7
18.4,18.4,145.8
18.4,18.4,167.9
14.8,14.8,201
18.4,18.4,246.8
20.5,20.5,252.9
16.6,16.6,218.2
60.3,44.6,303.3
16.6,16.6,244.6
13,13,183.2
14.8,14.8,215
13,13,199.6
16.6,16.6,207.9
31.7,16.6,172.7
18.4,18.4,231.8
14.8,14.8,204
29.5,29.5,220.4
31.7,25.9,156.7
16.6,16.6,217.6
16.6,16.6,168
27.7,14.8,199.2
16.6,16.6,146.5
16.6,16.6,166.7
13,13,158
29.5,16.6,155.9
44.6,33.5,290.8
59.4,42.5,350.4
42.5,31.7,312.1
14.8,14.8,200.8
16.6,16.6,317.1
14.8,14.8,225.7
14.8,14.8,178.3
11.2,11.2,172.6
11.2,11.2,259.2
16.6,16.6,276.1
13,13,246.5
16.6,16.6,239.2
13,13,191.4
16.6,16.6,150.4
22.3,22.3,164.5
37.1,29.5,260
16.6,16.6,162.1
13,13,207.2
53.6,33.5,332.1
64.8,44.6,344.2
47.9,31.7,344.2
22.3,22.3,235.4
24.1,24.1,235.1
16.6,16.6,229.3
46.4,33.5,289.2
40.7,25.9,299.6
68.4,48.2,344.6
50,27.7,280.1
11.2,11.2,206.4
61.2,44.6,325
40.7,31.7,308.4
22.3,22.3,293.3
13,13,195.9
14.8,14.8,227.9
13,13,202.5
16.6,16.6,193.4
13,13,223.5
13,13,252.8
14.8,14.8,248
14.8,14.8,194.6
14.8,14.8,202.4
56.3,35.3,291.8
18.4,18.4,250
50,35.3,315.8
44.6,33.5,308.8
13,13,206.8
16.6,16.6,259.2
11.2,11.2,164.6
63,42.5,172.7
14.8,14.8,171.3
16.6,16.6,176.8
18.4,18.4,237.4
50,38.9,162.1
55.4,40.7,159.6
20.5,20.5,272.1
35.3,25.9,287.9
35.3,25.9,299.2
11.2,11.2,226.8
16.6,16.6,304.6
18.4,18.4,228.8
20.5,20.5,252.3
38.9,27.7,334.6
14.8,14.8,207.1
14.8,14.8,269.2
9.4,9.4,198.7
16.6,16.6,212.1
